SampleNumber,GPStime,Type,Period,Network,DistMean,DistSTD,DistMax,LogBCI,LogBSN,ProbMin,ProbMax,ProbMedian,ProbStd,Vol0Min,Vol0Max,Vol0Median,Vol0Std,Vol1Min,Vol1Max,Vol1Median,Vol1Std,Vol2Min,Vol2Max,Vol2Median,Vol2Std
r02116,1252900965,BNS,GW170729,111000,163.061,49.823,287.618,5.172,15.026,2.220035245835993e-14,3.311751751998932e-05,2.8957115855449458e-12,2.322531760935555e-06,1.3367386139356977e-11,0.006,1.7372113004722776e-08,0.0003743333618579952,3.838036222828297e-12,0.006,3.5156592294861555e-10,0.0003672568545638282,1.135649757287423e-11,0.0007524629353170938,7.775237375609304e-08,0.00014204416108047068
r02117,1194470671,BNS,GW170729,111000,78.418,20.2,128.917,9.662,135.589,1.2272611700400512e-60,9.22674417445303e-05,1.042509159204558e-31,2.894791763082048e-06,0.0,0.011,1.570456716351593e-17,0.0005605320015846675,3.0151884676662263e-261,0.013,9.522963451619452e-32,0.0005734862405891183,0.0,0.0009631371637962783,1.4326716527682123e-09,0.0001647906479157698
r02118,1217135116,BNS,GW170729,111000,124.875,35.005,212.388,6.635,47.91,1.3542586036502308e-28,3.83198321273473e-05,3.583307661501593e-16,1.9005098314541408e-06,8.625507390259255e-34,0.005,2.8375287776060685e-12,0.00038045818170818726,2.4308525256589523e-74,0.006,6.828806595117434e-15,0.00037157440863075435,9.393928262514976e-33,0.0007992298880827636,6.193315050028236e-11,0.00015600685688447807
r02119,1221560323,BNS,GW170729,111000,215.073,69.95,389.949,4.375,19.639,1.0811089426274765e-15,5.0213296037812565e-05,1.3213221939890327e-11,4.958736938618492e-06,0.0,0.007,3.2798819461737494e-10,0.0004285130079514893,6.921721175787014e-14,0.004,3.115050758398991e-10,0.00030748373816904645,1.0090855190568927e-14,0.0003414108870821903,2.7035462552308175e-06,8.939969361902543e-05
r02120,1215097237,BNS,GW170729,111000,185.492,52.178,315.936,7.274,27.727,1.98031691896786e-19,0.0001194700589785,1.9223681784025982e-14,8.029395344356069e-06,5.783929980260597e-27,0.002,2.1763061812751733e-12,0.0002629081120827556,8.372640322459606e-18,0.0005202948324294703,9.589744564609762e-07,0.00010722215084824358,1.3254143312268698e-16,0.004,1.7622582464475046e-12,0.0002752121795750811
r02121,1204636024,BNS,GW170729,111000,91.721,23.634,150.806,6.156,51.633,2.8659208262234665e-29,6.903140337661729e-05,1.6815047940521106e-22,3.066404185308312e-06,8.880887805252697e-25,0.004,6.004345731732794e-10,0.0003144026944988039,1.193091989791616e-25,0.004,3.4136948336381544e-19,0.0003295990001797618,4.293387838935217e-24,0.002,3.0172901731085388e-18,0.00019527528096386672
r02122,1233167008,BNS,GW170729,111000,161.05,40.98,263.5,9.186,57.985,4.3052994372660036e-32,3.626723454907619e-05,1.2294205009804997e-21,2.05676659152103e-06,7.270339907047462e-59,0.007,2.8847680270525417e-19,0.0004832184752395323,3.2550458502772653e-31,0.007,9.761217092611102e-20,0.0004308696412640063,1.5418616693541083e-25,0.0004328272546020131,8.608080516146944e-07,0.00010389425830373183
r02123,1195983623,BNS,GW170729,111000,135.887,37.223,228.944,8.134,51.84,4.102128456231582e-29,4.071840383859433e-05,8.534853936799736e-21,2.427244549448334e-06,4.260482031322817e-30,0.007,1.6892275581869088e-16,0.00039252602683944584,7.939924939459216e-28,0.006,2.5451075259878267e-18,0.0003480985972371138,6.386793689221925e-26,0.0005391103399031581,1.1574295683910902e-06,0.00011704182021302777
r02124,1171004409,BNS,GW170729,111000,179.718,58.438,325.814,5.666,15.489,3.8119464626112976e-14,8.109020105100798e-05,2.07687581026914e-11,6.703866139903675e-06,1.9474554208211553e-17,0.004,8.334313485557199e-10,0.00030858795853428724,1.7872954076466085e-12,0.004,7.78543596107606e-10,0.0003241841184646352,1.0317799820222018e-11,0.000371545886716879,2.493056753733346e-06,9.297309438999948e-05
r02125,1213668669,BNS,GW170729,111000,175.884,52.358,306.78,4.885,22.111,5.3447406336377604e-17,0.0001150938374636,7.704173881133941e-12,6.528944182874767e-06,1.0365632068922349e-17,0.005,1.3651951426219152e-10,0.0003423371811129142,1.2515622564474996e-14,0.006,1.1336613974015167e-10,0.00037312869274252445,3.5885689396747706e-16,0.0005662909394267349,1.0424974669180644e-06,0.00011483684453204534
r02126,1183257732,BNS,GW170729,111000,48.986,11.922,78.791,12.245,478.645,2.679038269841294e-182,6.857359456756013e-05,2.224511995015153e-108,1.9099314662295782e-06,0.0,0.026,1.2355025965562049e-54,0.0008777759855272139,0.0,0.021,1.2313946525067729e-114,0.0007712091322186102,0.0,0.002,1.5321452060708648e-21,0.00021012341646310233
r02127,1236816186,BNS,GW170729,111000,177.091,51.38,305.541,7.121,26.873,1.7662362778834087e-18,0.0001193792294048,2.4900256535534338e-15,7.627928023649022e-06,2.1111194803143496e-17,0.009,1.441360361341206e-13,0.0005502326640749104,1.6157071845352684e-16,0.006,1.0912836849219259e-13,0.0004217300609514114,2.871976667171033e-17,0.000387322453519512,1.5241755703121696e-06,9.771417134905618e-05
r02128,1231418191,BNS,GW170729,111000,78.526,23.361,136.928,7.884,66.62,5.2800731861450576e-36,9.010880395883208e-05,8.377940009053451e-22,7.16982568994508e-06,1.8530031246661415e-94,0.008,4.279488119199736e-20,0.00034670025703065546,5.088583307465555e-32,0.004,4.836193420076153e-20,0.00029252543920302006,3.078308819656644e-42,0.0005794529281784491,1.717683864620613e-06,0.0001012944639488449
r02129,1183460864,BNS,GW170729,111000,95.857,32.333,176.689,7.294,79.176,2.7893339495456896e-39,4.839701499102262e-05,1.8649116321948566e-26,2.4595738499898203e-06,3.0321147346812175e-253,0.022,9.435309854212959e-24,0.0006500976417434678,4.0168776876651274e-38,0.008,2.098027490509094e-24,0.0004082719368740324,4.004627487801856e-27,0.001,6.66487571699225e-06,0.0001385346535061168
